Domain,Type,Sponsoring Organisation,Date
.credit,generic,"Snow Shadow, LLC",2025-06-12
.creditcard,generic,"Binky Frostbite, LLC",2025-06-12
.cricket,generic,dot Cricket Limited,2025-06-12
.crs,generic,Federated Co-operatives Limited,2025-06-12
.cruises,generic,"Spring Way, LLC",2025-06-12
.cuisinella,generic,SALM S.A.S.,2025-06-12
.cymru,generic,Nominet UK,2025-06-12
.cyou,generic,"Beijing Gamease Age Digital Technology Co., Ltd.",2025-06-12
.dabur,generic,Dabur India Limited,2025-06-12
.dad,generic,Charleston Road Registry Inc.,2025-06-12
.dance,generic,United TLD Holdco Ltd.,2025-06-12
.date,generic,dot Date Limited,2025-06-12
.dating,generic,"Pine Fest, LLC",2025-06-12
.datsun,generic,"NISSAN MOTOR CO., LTD.",2025-06-12
.day,generic,Charleston Road Registry Inc.,2025-06-12
.dclk,generic,Charleston Road Registry Inc.,2025-06-12
.deals,generic,"Sand Sunset, LLC",2025-06-12
.degree,generic,"United TLD Holdco, Ltd",2025-06-12
.delivery,generic,"Steel Station, LLC",2025-06-12
.democrat,generic,United TLD Holdco Ltd.,2025-06-12
.dental,generic,"Tin Birch, LLC",2025-06-12
.dentist,generic,"United TLD Holdco, Ltd",2025-06-12
.desi,generic,Desi Networks LLC,2025-06-12
.design,generic,"Top Level Design, LLC",2025-06-12
.dev,generic,Charleston Road Registry Inc.,2025-06-12
.diamonds,generic,"John Edge, LLC",2025-06-12
.diet,generic,"Uniregistry, Corp.",2025-06-12
.digital,generic,"Dash Park, LLC",2025-06-12
.direct,generic,"Half Trail, LLC",2025-06-12
.directory,generic,"Extra Madison, LLC",2025-06-12
.discount,generic,"Holly Hill, LLC",2025-06-12
.dnp,generic,"Dai Nippon Printing Co., Ltd.",2025-06-12
.docs,generic,Charleston Road Registry Inc.,2025-06-12
.doha,generic,Communications Regulatory Authority (CRA),2025-06-12
.domains,generic,"Sugar Cross, LLC",2025-06-12
.doosan,generic,Doosan Corporation,2025-06-12
.download,generic,dot Support Limited,2025-06-12
.durban,generic,ZA Central Registry NPC trading as ZA Central Registry,2025-06-12
