Domain,Type,Sponsoring Organisation,Date
.trading,generic,DOTTRADING REGISTRY LTD,2025-06-12
.training,generic,"Wild Willow, LLC",2025-06-12
.trust,generic,Artemis Internet Inc,2025-06-12
.tui,generic,TUI AG,2025-06-12
.university,generic,"Little Station, LLC",2025-06-12
.uno,generic,Dot Latin LLC,2025-06-12
.uol,generic,UBN INTERNET LTDA.,2025-06-12
.vacations,generic,"Atomic Tigers, LLC",2025-06-12
.vegas,generic,"Dot Vegas, Inc.",2025-06-12
.ventures,generic,"Binky Lake, LLC",2025-06-12
.versicherung,generic,dotversicherung-registry GmbH,2025-06-12
.vet,generic,"United TLD Holdco, Ltd",2025-06-12
.viajes,generic,"Black Madison, LLC",2025-06-12
.video,generic,"United TLD Holdco, Ltd",2025-06-12
.villas,generic,"New Sky, LLC",2025-06-12
.vision,generic,"Koko Station, LLC",2025-06-12
.vlaanderen,generic,DNS.be vzw,2025-06-12
.vodka,generic,Top Level Domain Holdings Limited,2025-06-12
.vote,generic,Monolith Registry LLC,2025-06-12
.voting,generic,Valuetainment Corp.,2025-06-12
.voto,generic,Monolith Registry LLC,2025-06-12
.voyage,generic,"Ruby House, LLC",2025-06-12
.wales,generic,Nominet UK,2025-06-12
.wang,generic,Zodiac Registry Limited,2025-06-12
.watch,generic,"Sand Shadow, LLC",2025-06-12
.webcam,generic,dot Webcam Limited,2025-06-12
.website,generic,DotWebsite Inc.,2025-06-12
.wed,generic,"Atgron, Inc.",2025-06-12
.wedding,generic,Top Level Domain Holdings Limited,2025-06-12
.whoswho,generic,Who's Who Registry,2025-06-12
.wien,generic,punkt.wien GmbH,2025-06-12
.wiki,generic,"Top Level Design, LLC",2025-06-12
.williamhill,generic,William Hill Organization Limited,2025-06-12
.win,generic,First Registry Limited,2025-06-12
.wme,generic,"William Morris Endeavor Entertainment, LLC",2025-06-12
.work,generic,Top Level Domain Holdings Limited,2025-06-12
.works,generic,"Little Dynamite, LLC",2025-06-12
.world,generic,"Bitter Fields, LLC",2025-06-12
.wtc,generic,"World Trade Centers Association, Inc.",2025-06-12
.wtf,generic,"Hidden Way, LLC",2025-06-12
.xin,generic,Elegant Leader Limited,2025-06-12
.佛山,generic,"Guangzhou YU Wei Information Technology Co., Ltd.",2025-06-12
.慈善,generic,Excellent First Limited,2025-06-12
.集团,generic,Eagle Horizon Limited,2025-06-12
.在线,generic,TLD REGISTRY LIMITED,2025-06-12
.八卦,generic,Zodiac Scorpio Limited,2025-06-12
.موقع,generic,Suhub Electronic Establishment,2025-06-12
.公益,generic,China Organizational Name Administration Center,2025-06-12
.公司,generic,Computer Network Information Center of Chinese Academy of Sciences （China Internet Network Information Center）,2025-06-12
.移动,generic,Afilias Limited,2025-06-12
.我爱你,generic,Tycoon Treasure Limited,2025-06-12
.москва,generic,Foundation for Assistance for Internet Technologies and Infrastructure Development (FAITID),2025-06-12
.онлайн,generic,CORE Association,2025-06-12
.сайт,generic,CORE Association,2025-06-12
.时尚,generic,RISE VICTORY LIMITED,2025-06-12
.淡马锡,generic,Temasek Holdings (Private) Limited,2025-06-12
.орг,generic,Public Interest Registry,2025-06-12
.삼성,generic,"SAMSUNG SDS CO., LTD",2025-06-12
.商标,generic,HU YI GLOBAL INFORMATION RESOURCES(HOLDING) COMPANY.HONGKONG LIMITED,2025-06-12
.商店,generic,"Wild Island, LLC",2025-06-12
.商城,generic,Zodiac Aquarius Limited,2025-06-12
.дети,generic,The Foundation for Network Initiatives “The Smart Internet”,2025-06-12
.中文网,generic,TLD REGISTRY LIMITED,2025-06-12
.中信,generic,CITIC Group Corporation,2025-06-12
.谷歌,generic,Charleston Road Registry Inc.,2025-06-12
.网店,generic,Zodiac Libra Limited,2025-06-12
.संगठन,generic,Public Interest Registry,2025-06-12
.网络,generic,Computer Network Information Center of Chinese Academy of Sciences （China Internet Network Information Center）,2025-06-12
.飞利浦,generic,Koninklijke Philips N.V.,2025-06-12
.手机,generic,"Beijing RITT-Net Technology Development Co., Ltd",2025-06-12
.بازار,generic,CORE Association,2025-06-12
.政府,generic,"Net-Chinese Co., Ltd.",2025-06-12
.شبكة,generic,International Domain Registry Pty. Ltd.,2025-06-12
.机构,generic,Public Interest Registry,2025-06-12
.组织机构,generic,Public Interest Registry,2025-06-12
.健康,generic,Stable Tone Limited,2025-06-12
.рус,generic,Rusnames Limited,2025-06-12
.みんな,generic,Charleston Road Registry Inc.,2025-06-12
.グーグル,generic,Charleston Road Registry Inc.,2025-06-12
.世界,generic,Stable Tone Limited,2025-06-12
.网址,generic,"KNET Co., Ltd",2025-06-12
.游戏,generic,"Spring Fields, LLC",2025-06-12
.vermögensberater,generic,Deutsche Vermögensberatung Aktiengesellschaft DVAG,2025-06-12
.vermögensberatung,generic,Deutsche Vermögensberatung Aktiengesellschaft DVAG,2025-06-12
.企业,generic,"Dash McCook, LLC",2025-06-12
.信息,generic,"Beijing Tele-info Network Technology Co., Ltd.",2025-06-12
.广东,generic,"Guangzhou YU Wei Information Technology Co., Ltd.",2025-06-12
.政务,generic,China Organizational Name Administration Center,2025-06-12
.xyz,generic,XYZ.COM LLC,2025-06-12
.yachts,generic,"DERYachts, LLC",2025-06-12
.yandex,generic,"YANDEX, LLC",2025-06-12
.yodobashi,generic,"YODOBASHI CAMERA CO.,LTD.",2025-06-12
.yoga,generic,Top Level Domain Holdings Limited,2025-06-12
.yokohama,generic,"GMO Registry, Inc.",2025-06-12
.youtube,generic,Charleston Road Registry Inc.,2025-06-12
.zip,generic,Charleston Road Registry Inc.,2025-06-12
.zone,generic,"Outer Falls, LLC",2025-06-12
.zuerich,generic,Kanton Zürich (Canton of Zurich),2025-06-12
